Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
260.0,Justin Champagnie,24.0,WAS,SF,41.0,10.0,18.5,2.8,5.5,0.502,0.6,2.0,0.313,2.1,3.5,0.607,0.558,1.0,1.3,0.736,2.0,3.5,5.6,1.1,0.8,0.5,0.6,1.6,7.1,
261.0,Walter Clayton,22.0,UTA,PG,40.0,0.0,18.5,2.4,5.8,0.408,1.0,3.3,0.305,1.4,2.6,0.539,0.494,1.4,1.5,0.948,0.3,1.7,2.0,3.4,0.6,0.2,1.2,1.8,7.1,
262.0,Andre Drummond,32.0,PHI,C,35.0,16.0,20.0,2.7,5.5,0.497,0.5,1.3,0.362,2.3,4.2,0.541,0.541,1.1,1.7,0.655,3.4,5.5,9.0,0.8,0.5,0.9,0.9,2.0,7.1,
263.0,Kevin Love,37.0,UTA,PF,25.0,4.0,17.3,2.3,5.7,0.399,1.4,4.0,0.36,0.8,1.7,0.488,0.524,1.1,1.3,0.818,1.7,3.9,5.6,1.8,0.3,0.3,0.8,1.8,7.1,
264.0,Seth Curry,35.0,GSW,SG,2.0,0.0,16.0,3.0,4.5,0.667,1.0,2.0,0.5,2.0,2.5,0.8,0.778,0.0,0.0,,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,7.0,
265.0,Micah Potter,27.0,IND,C,15.0,2.0,17.5,2.0,4.5,0.441,1.1,3.1,0.362,0.9,1.4,0.619,0.566,1.9,2.0,0.933,0.9,3.1,3.9,1.4,0.3,0.3,0.7,1.5,7.0,
266.0,TyTy Washington Jr.,24.0,LAC,PG,2.0,0.0,11.0,3.0,4.5,0.667,1.0,2.0,0.5,2.0,2.5,0.8,0.778,0.0,0.0,,0.0,0.5,0.5,1.5,1.0,0.5,0.0,0.0,7.0,
267.0,Cole Anthony,25.0,MIL,PG,31.0,0.0,15.1,2.9,6.5,0.448,0.6,2.0,0.323,2.3,4.5,0.504,0.498,0.4,0.7,0.591,0.4,2.1,2.5,3.6,0.6,0.3,1.9,2.1,6.9,
268.0,Jaden Hardy,23.0,DAL,SG,31.0,4.0,12.3,2.3,5.8,0.398,1.4,3.7,0.371,0.9,2.1,0.446,0.517,0.9,1.1,0.8,0.4,1.0,1.4,0.8,0.2,0.1,0.8,1.3,6.9,
269.0,Will Richard,23.0,GSW,SG,41.0,15.0,19.1,2.5,5.1,0.486,1.1,3.1,0.365,1.3,2.0,0.671,0.596,0.9,1.0,0.814,1.0,1.5,2.5,1.3,1.1,0.1,0.8,1.9,6.9,
270.0,Tristan Vukcevic,22.0,WAS,C,30.0,2.0,11.4,2.3,5.1,0.455,0.4,2.0,0.2,1.9,3.1,0.617,0.494,1.8,2.4,0.764,0.6,1.8,2.4,1.0,0.3,0.7,1.0,1.2,6.9,
271.0,Al Horford,39.0,GSW,C,26.0,1.0,19.6,2.4,6.2,0.391,1.5,4.4,0.351,0.9,1.8,0.489,0.516,0.4,0.4,1.0,0.9,4.0,5.0,2.0,0.8,1.0,1.0,1.2,6.8,
272.0,Kobe Sanders,23.0,LAC,SG,36.0,8.0,20.7,2.4,5.5,0.442,1.0,2.6,0.389,1.4,2.8,0.49,0.536,0.9,1.0,0.865,0.4,1.9,2.4,1.5,0.6,0.1,1.3,2.1,6.8,
273.0,Gradey Dick,22.0,TOR,SG,47.0,1.0,16.5,2.3,5.5,0.425,0.9,3.0,0.309,1.4,2.6,0.558,0.508,1.1,1.3,0.847,0.6,1.6,2.2,0.7,0.7,0.1,0.5,1.5,6.7,
274.0,Isaiah Jackson,24.0,IND,C,33.0,14.0,17.2,2.7,4.6,0.583,0.0,0.0,0.0,2.7,4.5,0.587,0.583,1.4,2.0,0.708,2.4,3.2,5.6,0.8,0.6,0.7,1.2,2.8,6.7,
275.0,Tidjane SalaÃ¼n,20.0,CHO,PF,29.0,0.0,16.4,2.4,4.6,0.515,1.0,2.3,0.441,1.3,2.3,0.591,0.627,0.7,1.0,0.7,0.8,3.6,4.3,0.9,0.4,0.2,0.7,1.6,6.5,
276.0,Patrick Williams,24.0,CHI,PF,40.0,1.0,18.4,2.3,6.0,0.378,1.3,3.2,0.402,1.0,2.8,0.351,0.485,0.7,1.0,0.683,0.6,2.3,3.0,1.2,0.7,0.3,0.9,1.2,6.5,
277.0,Ryan Dunn,23.0,PHO,SF,38.0,11.0,20.8,2.6,5.7,0.452,0.8,2.6,0.313,1.8,3.1,0.568,0.523,0.5,0.7,0.692,1.6,2.9,4.5,1.7,0.9,0.5,1.0,2.4,6.4,
278.0,Bones Hyland,25.0,MIN,PG,36.0,3.0,13.6,2.3,5.2,0.447,1.1,3.2,0.353,1.2,2.0,0.597,0.556,0.6,0.9,0.719,0.2,1.1,1.3,2.5,0.5,0.3,0.8,1.6,6.4,
279.0,Brook Lopez,37.0,LAC,C,37.0,7.0,16.9,2.2,6.0,0.362,1.4,4.4,0.327,0.7,1.6,0.458,0.482,0.6,0.7,0.846,0.4,2.2,2.6,0.9,0.5,1.0,0.8,1.6,6.4,
280.0,Drake Powell,20.0,BRK,SG,32.0,6.0,19.2,2.3,5.1,0.451,0.8,2.5,0.313,1.5,2.6,0.585,0.528,1.0,1.2,0.892,0.2,1.4,1.6,1.7,0.6,0.2,0.9,1.5,6.4,
281.0,Ben Sheppard,24.0,IND,SG,35.0,12.0,22.5,2.2,5.9,0.377,1.2,3.7,0.323,1.0,2.2,0.468,0.478,0.7,1.0,0.765,0.6,2.6,3.3,1.8,0.6,0.1,0.5,1.9,6.4,
282.0,Jaxson Hayes,25.0,LAL,C,35.0,4.0,17.6,2.6,3.3,0.769,0.0,0.0,1.0,2.5,3.3,0.767,0.774,1.1,1.8,0.625,1.5,2.5,4.0,0.8,0.3,0.6,0.6,2.1,6.3,
283.0,Mac McClung,27.0,IND,SG,3.0,0.0,11.3,2.3,6.0,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1.0,1.3,0.75,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,
284.0,Josh Minott,23.0,BOS,PF,29.0,10.0,17.6,2.3,4.5,0.504,1.1,2.5,0.438,1.2,2.0,0.586,0.626,0.7,0.9,0.769,1.3,2.6,4.0,1.1,0.8,0.4,0.6,1.7,6.3,
285.0,Jalen Pickett,26.0,DEN,SG,31.0,13.0,18.9,2.4,5.5,0.435,1.2,2.9,0.411,1.2,2.6,0.463,0.544,0.3,0.4,0.909,0.5,2.4,2.9,2.9,0.4,0.1,0.8,1.0,6.3,
286.0,Trendon Watford,25.0,PHI,PF,22.0,4.0,15.9,2.4,4.6,0.525,0.4,0.9,0.4,2.0,3.7,0.556,0.564,1.1,1.5,0.75,0.8,2.6,3.5,2.9,0.3,0.3,1.1,2.0,6.3,
287.0,Sidy Cissoko,21.0,POR,SF,41.0,20.0,21.6,2.0,5.2,0.391,1.1,3.3,0.326,1.0,2.0,0.5,0.493,1.0,1.5,0.7,0.9,1.4,2.3,1.4,0.7,0.3,1.1,2.7,6.2,
288.0,Sion James,23.0,CHO,SG,45.0,18.0,25.1,1.9,4.9,0.384,1.0,2.9,0.362,0.8,2.0,0.416,0.491,1.4,1.6,0.873,0.6,2.8,3.4,2.0,0.6,0.4,0.8,1.8,6.2,
289.0,Alex Caruso,31.0,OKC,SG,32.0,0.0,18.2,2.2,5.3,0.417,1.0,3.2,0.301,1.2,2.0,0.6,0.509,0.7,0.9,0.821,0.6,2.3,2.8,2.1,1.4,0.4,0.8,1.3,6.1,
290.0,Spencer Jones,24.0,DEN,SF,41.0,29.0,23.5,2.2,4.4,0.514,1.0,2.5,0.394,1.2,1.8,0.68,0.628,0.6,1.0,0.634,1.1,2.0,3.1,0.9,0.9,0.4,0.6,2.8,6.1,
291.0,Jared McCain,21.0,PHI,SG,31.0,1.0,16.7,2.2,6.3,0.354,1.0,3.0,0.323,1.3,3.3,0.382,0.431,0.7,0.8,0.88,0.1,2.0,2.1,1.5,0.7,0.0,0.7,1.2,6.1,
292.0,Kris Murray,25.0,POR,SF,34.0,11.0,25.7,2.3,5.1,0.446,0.6,2.3,0.256,1.7,2.9,0.598,0.503,0.9,1.2,0.738,1.8,2.2,4.0,1.2,1.2,0.4,0.9,2.0,6.1,
293.0,Taurean Prince,31.0,MIL,SF,8.0,0.0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1.0,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,6.1,
294.0,Nick Smith Jr.,21.0,LAL,SG,23.0,1.0,13.0,2.3,5.4,0.427,1.2,3.0,0.397,1.1,2.4,0.464,0.536,0.3,0.5,0.636,0.1,0.7,0.8,1.2,0.3,0.1,0.8,1.0,6.1,
295.0,Nae'Qwan Tomlin,25.0,CLE,PF,35.0,2.0,16.0,2.5,5.2,0.475,0.4,1.9,0.215,2.1,3.3,0.621,0.514,0.8,1.1,0.718,1.4,1.8,3.2,0.8,0.7,0.7,0.3,2.0,6.1,
296.0,Ja'Kobe Walter,21.0,TOR,SG,37.0,9.0,17.7,2.1,4.9,0.431,1.2,3.2,0.367,0.9,1.6,0.557,0.552,0.7,1.0,0.75,0.7,1.4,2.1,0.9,0.9,0.2,0.5,1.9,6.1,
297.0,Kenrich Williams,31.0,OKC,PF,26.0,0.0,14.8,2.5,4.7,0.52,0.8,2.3,0.367,1.6,2.4,0.667,0.61,0.3,0.7,0.471,0.8,2.3,3.2,1.6,0.6,0.2,0.5,1.1,6.1,
298.0,Goga Bitadze,26.0,ORL,C,39.0,1.0,16.7,2.5,3.6,0.688,0.1,0.3,0.2,2.4,3.4,0.725,0.695,1.0,1.3,0.731,2.2,3.1,5.2,1.3,0.8,1.2,0.6,2.2,6.0,
299.0,Aaron Holiday,29.0,HOU,PG,30.0,1.0,14.0,1.9,4.8,0.4,1.3,3.3,0.38,0.7,1.5,0.444,0.531,0.8,1.0,0.862,0.1,0.7,0.8,1.0,0.4,0.1,0.7,1.4,6.0,
