Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
227.0,Simone Fontecchio,30.0,MIA,SF,42.0,1.0,701.0,12.9,0.569,0.7,0.22,4.4,14.4,9.4,11.6,1.3,0.8,10.3,20.3,0.5,0.7,1.2,0.084,0.2,-0.2,0.0,0.3,
228.0,Andre Drummond,32.0,PHI,C,35.0,16.0,701.0,17.4,0.565,0.244,0.301,18.5,31.0,24.6,5.4,1.3,3.9,12.1,14.9,1.1,1.2,2.3,0.157,0.1,-0.5,-0.4,0.3,
229.0,Marvin Bagley III,26.0,WAS,PF,36.0,7.0,696.0,20.2,0.66,0.078,0.403,14.1,16.9,15.5,11.7,1.3,3.3,13.7,18.9,1.7,0.3,2.0,0.139,1.4,-1.1,0.4,0.4,
230.0,Tyus Jones,29.0,ORL,PG,43.0,8.0,691.0,8.3,0.439,0.651,0.04,1.3,6.4,3.8,18.7,2.2,0.4,6.8,9.9,0.3,0.6,0.9,0.059,-3.0,1.1,-1.9,0.0,
231.0,Keegan Murray,25.0,SAC,PF,19.0,18.0,683.0,12.0,0.502,0.355,0.147,4.8,14.3,9.5,6.1,1.6,3.9,7.4,18.7,-0.2,0.4,0.2,0.015,-2.1,-0.7,-2.8,-0.1,
232.0,Kelly Oubre Jr.,30.0,PHI,SF,21.0,16.0,679.0,13.0,0.601,0.45,0.238,3.2,12.4,7.7,6.3,1.7,2.1,10.2,17.6,0.6,0.7,1.3,0.092,-0.8,0.0,-0.8,0.2,
233.0,Herbert Jones,27.0,NOP,SF,24.0,24.0,676.0,9.2,0.495,0.481,0.155,3.9,9.8,6.8,11.2,2.8,1.3,12.7,15.5,-0.2,0.4,0.2,0.015,-3.8,0.1,-3.7,-0.3,
234.0,Keon Ellis,26.0,SAC,SG,39.0,5.0,675.0,8.9,0.52,0.681,0.162,2.3,6.4,4.3,4.6,3.1,2.5,8.7,13.8,-0.2,0.5,0.3,0.02,-3.4,1.1,-2.3,-0.1,
235.0,Jarred Vanderbilt,26.0,LAL,PF,34.0,3.0,675.0,11.1,0.573,0.409,0.235,9.8,20.0,15.0,8.7,2.2,1.8,20.7,11.8,0.3,0.7,1.0,0.073,-2.3,0.4,-2.0,0.0,
236.0,Bilal Coulibaly,21.0,WAS,SG,25.0,25.0,664.0,11.6,0.513,0.421,0.407,3.7,15.0,9.3,12.8,2.6,3.1,14.0,18.0,-0.2,0.5,0.3,0.024,-3.4,0.2,-3.2,-0.2,
237.0,Buddy Hield,33.0,GSW,SG,39.0,3.0,661.0,13.4,0.583,0.668,0.109,4.1,11.6,7.8,11.9,2.4,1.0,11.8,19.4,0.4,0.8,1.2,0.085,-0.3,0.2,-0.2,0.3,
238.0,Coby White,25.0,CHI,SG,23.0,20.0,657.0,15.0,0.597,0.526,0.383,1.2,11.9,6.7,23.4,1.2,0.3,16.3,27.6,0.3,0.3,0.6,0.047,-0.7,-2.3,-3.1,-0.2,
239.0,Tyrese Martin,26.0,BRK,SG,34.0,6.0,656.0,11.8,0.527,0.592,0.109,5.4,12.3,8.7,16.0,1.7,0.6,11.4,18.7,0.1,0.4,0.5,0.036,-0.8,-1.3,-2.1,0.0,
240.0,Ja'Kobe Walter,21.0,TOR,SG,37.0,9.0,654.0,10.3,0.577,0.663,0.199,4.4,9.0,6.7,6.4,2.4,0.9,8.8,14.1,0.5,0.8,1.3,0.093,-2.5,1.0,-1.4,0.1,
241.0,Goga Bitadze,26.0,ORL,C,39.0,1.0,652.0,20.3,0.714,0.071,0.369,14.1,20.3,17.2,10.6,2.2,6.5,11.8,12.0,1.9,1.1,3.0,0.221,0.8,2.6,3.4,0.9,
242.0,Ryan Nembhard,22.0,DAL,PG,32.0,17.0,650.0,11.0,0.529,0.356,0.05,1.2,8.7,5.1,35.3,0.6,0.0,18.0,17.7,0.2,0.5,0.7,0.051,-2.0,-1.9,-3.8,-0.3,
