Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
64.0,Tim Hardaway Jr.,33.0,DEN,SG,45.0,5.0,1223.0,0.443,0.557,0.392,0.579,0.9,0.618,0.219,0.693,94.0,102.0,109.0,106.0,114.0,106.0,82.0,167.0,32.1,37.5,
65.0,Nic Claxton,26.0,BRK,C,41.0,39.0,1222.0,0.584,0.598,0.167,0.587,0.647,0.61,0.413,0.033,124.0,109.0,46.0,108.0,82.0,105.0,154.0,8.0,31.3,24.9,
66.0,Kris Dunn,31.0,LAC,PG,44.0,38.0,1211.0,0.487,0.593,0.372,0.576,0.792,0.6,0.178,0.48,104.0,108.0,104.0,106.0,101.0,103.0,67.0,116.0,17.5,11.1,
67.0,Norman Powell,32.0,MIA,SG,39.0,39.0,1204.0,0.484,0.549,0.406,0.575,0.845,0.626,0.344,0.45,103.0,100.0,113.0,106.0,107.0,108.0,129.0,108.0,40.4,66.7,
68.0,Dillon Brooks,30.0,PHO,SF,39.0,39.0,1203.0,0.435,0.5,0.344,0.507,0.855,0.546,0.208,0.417,93.0,91.0,96.0,93.0,109.0,94.0,78.0,101.0,-48.9,-50.1,
69.0,Max Christie,22.0,DAL,SG,41.0,32.0,1199.0,0.485,0.531,0.457,0.627,0.855,0.655,0.203,0.619,103.0,97.0,127.0,115.0,109.0,113.0,76.0,149.0,62.2,60.8,
70.0,Derik Queen,21.0,NOP,C,46.0,34.0,1196.0,0.49,0.521,0.19,0.499,0.786,0.551,0.343,0.094,104.0,95.0,53.0,92.0,100.0,95.0,128.0,23.0,-40.3,-31.0,
71.0,Saddiq Bey,26.0,NOP,SF,40.0,32.0,1195.0,0.45,0.534,0.335,0.521,0.828,0.571,0.312,0.419,96.0,98.0,93.0,96.0,105.0,98.0,117.0,101.0,-22.3,-10.1,
72.0,Myles Turner,29.0,MIL,C,42.0,42.0,1190.0,0.426,0.484,0.388,0.543,0.761,0.578,0.283,0.602,91.0,88.0,108.0,100.0,97.0,100.0,106.0,145.0,-0.9,-2.0,
73.0,Ivica Zubac,28.0,LAC,C,38.0,37.0,1187.0,0.603,0.603,,0.603,0.732,0.628,0.28,0.0,128.0,110.0,,111.0,93.0,108.0,105.0,0.0,47.0,42.3,
74.0,Lauri Markkanen,28.0,UTA,PF,33.0,33.0,1187.0,0.483,0.563,0.365,0.557,0.884,0.616,0.345,0.405,103.0,103.0,102.0,102.0,112.0,106.0,129.0,98.0,17.2,52.9,
75.0,Duncan Robinson,31.0,DET,SF,41.0,41.0,1183.0,0.438,0.57,0.403,0.597,0.734,0.613,0.17,0.79,93.0,104.0,112.0,110.0,93.0,106.0,63.0,191.0,40.0,26.6,
76.0,Jimmy Butler,36.0,GSW,SF,38.0,38.0,1182.0,0.519,0.552,0.376,0.554,0.864,0.646,0.621,0.184,111.0,101.0,105.0,102.0,110.0,111.0,232.0,44.0,9.6,77.0,
77.0,Naz Reid,26.0,MIN,C,45.0,2.0,1181.0,0.474,0.572,0.392,0.581,0.783,0.598,0.133,0.545,101.0,105.0,109.0,107.0,100.0,103.0,50.0,132.0,38.6,19.1,
78.0,A.J. Green,26.0,MIL,SG,40.0,40.0,1181.0,0.445,0.517,0.437,0.643,0.8,0.654,0.097,0.906,95.0,95.0,122.0,118.0,102.0,113.0,36.0,219.0,61.1,47.1,
79.0,Cason Wallace,22.0,OKC,SG,44.0,35.0,1171.0,0.412,0.472,0.365,0.515,0.733,0.529,0.102,0.568,88.0,86.0,102.0,95.0,93.0,91.0,38.0,137.0,-16.7,-31.7,
80.0,De'Aaron Fox,28.0,SAS,PG,36.0,36.0,1171.0,0.479,0.556,0.355,0.547,0.797,0.584,0.261,0.383,102.0,102.0,99.0,101.0,101.0,101.0,98.0,92.0,3.5,4.2,
81.0,Jake LaRavia,24.0,LAL,PF,43.0,22.0,1170.0,0.462,0.565,0.345,0.543,0.753,0.576,0.269,0.468,98.0,103.0,96.0,100.0,96.0,99.0,101.0,113.0,-0.6,-3.3,
82.0,Chet Holmgren,23.0,OKC,PF,40.0,40.0,1168.0,0.572,0.656,0.384,0.631,0.77,0.663,0.341,0.309,122.0,120.0,107.0,116.0,98.0,114.0,127.0,75.0,82.7,89.7,
83.0,Davion Mitchell,27.0,MIA,PG,40.0,40.0,1167.0,0.47,0.513,0.4,0.546,0.651,0.557,0.141,0.378,100.0,94.0,111.0,100.0,83.0,96.0,53.0,91.0,1.4,-14.9,
84.0,Michael Porter Jr.,27.0,BRK,SF,35.0,34.0,1162.0,0.481,0.572,0.394,0.582,0.849,0.617,0.233,0.513,102.0,105.0,110.0,107.0,108.0,106.0,87.0,124.0,49.9,53.2,
85.0,Jaylen Wells,22.0,MEM,SG,43.0,43.0,1161.0,0.405,0.49,0.326,0.49,0.777,0.53,0.259,0.519,86.0,90.0,91.0,90.0,99.0,91.0,97.0,125.0,-46.8,-48.8,
86.0,Andrew Nembhard,26.0,IND,PG,36.0,36.0,1153.0,0.451,0.502,0.364,0.518,0.815,0.566,0.305,0.372,96.0,92.0,101.0,95.0,104.0,98.0,114.0,90.0,-25.3,-15.9,
87.0,Donovan Clingan,21.0,POR,C,42.0,42.0,1151.0,0.535,0.661,0.311,0.591,0.67,0.612,0.312,0.359,114.0,121.0,87.0,109.0,85.0,105.0,117.0,87.0,32.3,24.1,
88.0,Jaime Jaquez Jr.,24.0,MIA,SF,40.0,1.0,1151.0,0.517,0.559,0.271,0.536,0.744,0.57,0.277,0.146,110.0,102.0,76.0,99.0,95.0,98.0,104.0,35.0,-7.0,-11.3,
