Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
43.0,Karl-Anthony Towns,30.0,NYK,C,41.0,40.0,1313.0,0.469,11.4,0.675,0.381,0.231,0.024,0.039,0.325,0.52,0.606,0.445,0.357,0.217,0.363,0.534,0.971,0.066,35.0,0.047,0.556,0.0,0.0,
44.0,Anthony Black,22.0,ORL,PG,43.0,23.0,1312.0,0.459,13.0,0.63,0.269,0.239,0.072,0.049,0.37,0.521,0.718,0.397,0.395,0.231,0.354,0.566,0.841,0.101,44.0,0.277,0.5,1.0,1.0,
45.0,Naji Marshall,28.0,DAL,SF,45.0,22.0,1306.0,0.548,11.8,0.701,0.228,0.317,0.128,0.027,0.299,0.648,0.82,0.597,0.554,0.25,0.313,0.538,0.927,0.014,6.0,0.519,0.338,0.0,0.0,
46.0,Andrew Wiggins,30.0,MIA,SF,41.0,41.0,1294.0,0.471,13.5,0.631,0.228,0.235,0.107,0.06,0.369,0.513,0.661,0.472,0.368,0.375,0.398,0.436,0.949,0.03,15.0,0.24,0.489,0.0,0.0,
47.0,Julian Champagnie,24.0,SAS,SF,45.0,31.0,1290.0,0.427,20.2,0.231,0.136,0.068,0.025,0.003,0.769,0.587,0.722,0.407,0.4,0.0,0.379,0.667,0.974,0.033,13.0,0.353,0.352,0.0,0.0,
48.0,Peyton Watson,23.0,DEN,SF,43.0,33.0,1287.0,0.508,12.6,0.654,0.264,0.251,0.084,0.055,0.346,0.554,0.716,0.445,0.351,0.583,0.421,0.66,0.969,0.116,42.0,0.414,0.524,0.0,0.0,
49.0,Luka DonÄiÄ,26.0,LAL,PG,35.0,35.0,1273.0,0.465,17.7,0.545,0.072,0.202,0.196,0.075,0.455,0.575,0.842,0.575,0.542,0.407,0.333,0.214,0.375,0.003,2.0,0.056,0.25,0.0,0.0,
50.0,Collin Gillespie,26.0,PHO,PG,45.0,26.0,1272.0,0.444,20.4,0.352,0.067,0.101,0.138,0.046,0.648,0.482,0.563,0.5,0.455,0.409,0.424,0.37,0.718,0.0,0.0,0.178,0.564,0.0,0.0,
51.0,Harrison Barnes,33.0,SAS,PF,45.0,45.0,1271.0,0.432,16.9,0.396,0.159,0.172,0.06,0.005,0.604,0.546,0.77,0.439,0.261,0.5,0.358,0.518,0.964,0.018,7.0,0.496,0.383,0.0,0.0,
52.0,CJ McCollum,34.0,2TM,PG,42.0,36.0,1269.0,0.45,16.0,0.556,0.115,0.192,0.159,0.09,0.444,0.51,0.671,0.459,0.505,0.421,0.376,0.344,0.679,0.003,1.0,0.145,0.415,0.0,0.0,
52.0,CJ McCollum,34.0,WAS,SG,35.0,35.0,1082.0,0.454,17.0,0.539,0.108,0.187,0.159,0.085,0.461,0.505,0.632,0.455,0.524,0.422,0.393,0.326,0.667,0.004,1.0,0.135,0.424,0.0,0.0,
52.0,CJ McCollum,34.0,ATL,PG,7.0,1.0,187.0,0.434,15.0,0.642,0.151,0.217,0.16,0.113,0.358,0.529,0.813,0.478,0.412,0.417,0.263,0.417,0.8,0.0,0.0,0.211,0.375,0.0,0.0,
53.0,Quentin Grimes,25.0,PHI,SG,41.0,7.0,1267.0,0.433,16.9,0.421,0.261,0.099,0.027,0.034,0.579,0.544,0.689,0.4,0.182,0.143,0.353,0.591,0.88,0.039,14.0,0.196,0.435,1.0,1.0,
