Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
53,Donte DiVincenzo,SG,26,GSW,13,1,235,4.9,12.9,.375,3.0,8.9,.341,1.8,4.0,.450,1.6,2.4,.667,2.2,5.7,7.9,7.3,2.2,0.6,3.4,4.0,14.4,,105,112
54,PJ Dozier,SF,26,SAC,3,0,6,23.4,46.7,.500,15.6,31.1,.500,7.8,15.6,.500,0.0,0.0,,7.8,7.8,15.6,0.0,0.0,0.0,0.0,0.0,62.3,,132,117
55,Goran DragiÄ,PG,36,MIL,2,0,7,0.0,13.4,.000,0.0,6.7,.000,0.0,6.7,.000,26.9,26.9,1.000,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,26.9,,133,126
56,David Duke Jr.,SG,23,BRK,1,0,5,10.7,32.1,.333,0.0,10.7,.000,10.7,21.4,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.7,21.4,,46,125
57,Kevin Durant,PF,34,PHO,11,11,466,11.3,23.6,.478,1.8,5.4,.333,9.5,18.3,.520,9.3,10.1,.917,0.7,9.4,10.1,6.4,1.0,1.6,4.1,3.1,33.7,,116,118
58,Anthony Edwards,SG,21,MIN,5,5,199,14.1,29.2,.482,3.8,11.0,.349,10.3,18.2,.563,8.5,10.0,.846,0.8,5.6,6.4,6.7,2.3,2.6,2.1,3.3,40.5,,122,116
59,Kessler Edwards,SF,22,SAC,6,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,,,118
60,Joel Embiid,C,28,PHI,9,9,336,10.3,23.9,.431,0.8,4.4,.179,9.5,19.5,.488,11.9,13.1,.905,2.5,11.3,13.8,3.8,0.9,3.9,5.5,4.2,33.3,,106,109
61,Dorian Finney-Smith,PF,29,BRK,4,4,101,4.8,12.2,.391,3.7,9.0,.412,1.1,3.2,.333,0.0,0.0,,3.2,6.4,9.5,1.6,1.6,1.1,2.6,3.7,13.2,,96,115
62,De'Aaron Fox,PG,25,SAC,7,7,270,12.1,28.6,.424,3.6,10.9,.333,8.5,17.6,.480,5.4,7.1,.756,2.1,4.5,6.6,9.3,2.6,0.7,4.8,4.0,33.2,,109,112
63,Wenyen Gabriel,C,25,LAL,10,0,37,5.3,13.2,.400,0.0,0.0,,5.3,13.2,.400,2.6,4.0,.667,10.6,1.3,11.9,0.0,2.6,4.0,2.6,10.6,13.2,,106,110
64,Darius Garland,PG,23,CLE,5,5,189,9.8,22.3,.438,3.3,8.6,.387,6.4,13.7,.469,5.9,7.0,.840,0.0,2.5,2.5,7.0,2.2,0.3,5.0,4.7,28.7,,104,112
65,Rudy Gobert,C,30,MIN,5,5,177,8.4,13.3,.630,0.0,0.0,,8.4,13.3,.630,4.9,7.8,.630,5.2,12.4,17.6,2.9,0.6,1.4,2.3,6.9,21.6,,127,117
66,Aaron Gordon,PF,27,DEN,20,20,713,7.2,13.9,.518,1.3,3.3,.391,5.9,10.6,.557,3.2,4.9,.652,3.5,5.1,8.6,3.7,0.8,0.9,1.4,4.1,18.9,,126,113
67,Eric Gordon,SG,34,LAC,5,5,149,5.9,14.4,.409,3.3,9.5,.345,2.6,4.9,.533,1.6,2.0,.833,0.3,2.0,2.3,4.2,1.0,0.7,1.3,3.9,16.6,,116,127
68,Danny Green,SG,35,CLE,4,0,40,1.3,6.6,.200,1.3,5.3,.250,0.0,1.3,.000,0.0,0.0,,2.6,6.6,9.2,1.3,2.6,1.3,2.6,9.2,4.0,,66,106
69,Draymond Green,PF,32,GSW,12,9,367,5.4,11.8,.462,0.6,2.6,.250,4.8,9.2,.521,3.1,4.3,.727,2.5,8.3,10.7,10.6,2.3,1.6,3.5,6.2,14.6,,115,109
70,JaMychal Green,PF,32,GSW,7,2,49,8.7,22.3,.391,4.8,17.5,.278,3.9,4.8,.800,0.0,0.0,,0.0,4.8,4.8,2.9,0.0,1.0,1.9,9.7,22.3,,97,117
71,Jeff Green,PF,36,DEN,20,0,343,4.1,9.2,.452,1.3,4.1,.321,2.8,5.0,.559,2.5,2.8,.895,0.9,3.7,4.6,2.1,0.7,1.0,1.3,6.4,12.2,,116,114
72,Blake Griffin,C,33,BOS,1,0,6,0.0,8.4,.000,0.0,0.0,,0.0,8.4,.000,0.0,0.0,,8.4,8.4,16.8,0.0,0.0,0.0,0.0,16.8,0.0,,72,117
73,Quentin Grimes,SG,22,NYK,9,6,242,3.0,9.9,.304,1.9,8.0,.243,1.1,1.9,.556,1.9,2.4,.818,0.6,4.7,5.4,2.8,1.9,1.1,2.2,3.7,9.9,,93,109
74,Rui Hachimura,PF,24,LAL,16,1,388,9.2,16.5,.557,2.4,4.9,.487,6.8,11.6,.587,3.8,4.3,.882,1.1,6.2,7.3,1.3,1.0,0.5,1.3,3.2,24.6,,127,114
75,James Harden,PG,33,PHI,11,11,427,8.9,22.5,.393,3.8,10.1,.378,5.0,12.4,.406,5.9,6.8,.873,0.7,7.6,8.4,11.2,2.5,0.5,4.3,3.4,27.4,,111,112
76,Montrezl Harrell,C,29,PHI,2,0,7,0.0,22.5,.000,0.0,0.0,,0.0,22.5,.000,0.0,0.0,,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,,0,119
