Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
161,Gary Payton II,SG,30,GSW,12,3,192,36,54,.667,4,15,.267,32,39,.821,.704,6,9,.667,22,22,44,9,8,6,11,19,82
162,Mason Plumlee,C,32,LAC,5,0,91,14,16,.875,0,0,,14,16,.875,.875,13,14,.929,16,18,34,9,2,2,3,15,41
163,Jordan Poole,PG,23,GSW,13,4,284,46,135,.341,16,63,.254,30,72,.417,.400,26,34,.765,4,24,28,46,10,3,15,32,134
164,Michael Porter Jr.,SF,24,DEN,20,20,654,99,234,.423,46,131,.351,53,103,.515,.521,23,29,.793,20,142,162,31,10,11,9,42,267
165,Bobby Portis,PF,27,MIL,5,2,107,20,41,.488,5,18,.278,15,23,.652,.549,3,3,1.000,10,31,41,6,3,2,4,15,48
166,Norman Powell,SG,29,LAC,5,3,167,36,76,.474,13,32,.406,23,44,.523,.559,24,31,.774,4,11,15,11,4,2,8,16,109
167,Jason Preston,PG,23,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
168,Taurean Prince,PF,28,MIN,5,1,100,12,33,.364,8,21,.381,4,12,.333,.485,7,9,.778,3,4,7,4,3,1,5,9,39
169,Payton Pritchard,PG,25,BOS,10,0,57,12,22,.545,4,10,.400,8,12,.667,.636,4,5,.800,0,6,6,11,1,0,5,3,32
170,Immanuel Quickley,SG,23,NYK,8,0,175,23,66,.348,9,37,.243,14,29,.483,.417,17,20,.850,2,11,13,8,4,0,9,11,72
171,Julius Randle,PF,28,NYK,10,10,330,55,147,.374,17,66,.258,38,81,.469,.432,39,55,.709,17,66,83,36,5,3,35,24,166
172,Austin Reaves,SG,24,LAL,16,16,579,90,194,.464,39,88,.443,51,106,.481,.564,51,57,.895,20,51,71,73,10,3,25,39,270
173,Paul Reed,C,23,PHI,11,2,157,22,38,.579,0,0,,22,38,.579,.579,7,7,1.000,27,33,60,7,6,4,6,15,51
174,Austin Rivers,SG,30,MIN,4,0,46,4,8,.500,2,6,.333,2,2,1.000,.625,0,0,,1,4,5,1,1,0,1,1,10
175,Duncan Robinson,SF,28,MIA,23,1,418,75,158,.475,50,113,.442,25,45,.556,.633,7,8,.875,1,33,34,39,8,3,20,36,207
176,Mitchell Robinson,C,24,NYK,11,11,298,29,48,.604,0,0,,29,48,.604,.604,13,33,.394,55,47,102,9,8,16,10,29,71
177,David Roddy,PF,21,MEM,6,0,76,8,29,.276,6,20,.300,2,9,.222,.379,1,1,1.000,4,13,17,4,0,2,1,6,23
178,Derrick Rose,PG,34,NYK,1,0,3,0,4,.000,0,1,.000,0,3,.000,.000,0,0,,0,0,0,1,0,0,0,0,0
179,Terrence Ross,SG,31,PHO,6,0,69,8,27,.296,6,22,.273,2,5,.400,.407,0,0,,0,8,8,1,1,2,1,6,22
180,Ricky Rubio,PG,32,CLE,3,0,17,0,1,.000,0,0,,0,1,.000,.000,0,0,,2,4,6,3,1,0,5,5,0
181,D'Angelo Russell,PG,26,LAL,16,15,473,83,195,.426,27,87,.310,56,108,.519,.495,20,26,.769,10,37,47,74,11,5,29,32,213
182,Domantas Sabonis,C,26,SAC,7,7,243,49,99,.495,1,5,.200,48,94,.511,.500,16,28,.571,31,46,77,33,10,6,26,28,115
183,Dennis Schr̦der,PG,29,LAL,16,3,417,41,103,.398,13,39,.333,28,64,.438,.461,23,28,.821,3,28,31,46,16,3,20,40,118
184,Landry Shamet,SG,25,PHO,10,1,184,17,45,.378,11,29,.379,6,16,.375,.500,3,4,.750,3,14,17,11,2,1,4,15,48
185,Day'Ron Sharpe,C,21,BRK,2,0,20,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,2,4,6,5,0,1,2,3,6
186,Marcus Smart,PG,28,BOS,20,20,679,101,223,.453,44,122,.361,57,101,.564,.552,52,65,.800,21,59,80,101,25,5,45,37,298
187,Ish Smith,PG,34,DEN,4,0,12,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,0,0,2,2
188,Jaden Springer,SG,20,PHI,4,0,17,4,4,1.000,0,0,,4,4,1.000,1.000,1,2,.500,0,0,0,0,1,0,1,2,9
189,Lamar Stevens,SF,25,CLE,2,0,9,1,2,.500,1,1,1.000,0,1,.000,.750,2,2,1.000,0,3,3,0,0,0,0,0,5
190,Max Strus,SF,26,MIA,23,23,648,76,189,.402,43,135,.319,33,54,.611,.516,20,25,.800,14,69,83,33,8,7,6,47,215
191,Edmond Sumner,SG,27,BRK,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
192,Jayson Tatum,SF,24,BOS,20,20,799,185,404,.458,53,164,.323,132,240,.550,.524,120,137,.876,26,184,210,105,21,21,56,44,543
193,Cam Thomas,SG,21,BRK,2,0,16,3,7,.429,0,2,.000,3,5,.600,.429,0,0,,0,1,1,1,0,0,1,2,6
194,Klay Thompson,SF,32,GSW,13,13,468,85,219,.388,50,136,.368,35,83,.422,.502,21,24,.875,1,53,54,29,7,4,26,28,241
195,Tristan Thompson,C,31,LAL,6,0,32,5,11,.455,0,0,,5,11,.455,.455,1,5,.200,4,6,10,2,0,0,1,1,11
196,Xavier Tillman Sr.,C,24,MEM,6,6,183,24,45,.533,1,4,.250,23,41,.561,.544,3,5,.600,17,31,48,19,4,4,4,17,52
197,Obi Toppin,PF,24,NYK,11,1,175,30,70,.429,13,43,.302,17,27,.630,.521,4,5,.800,10,29,39,7,8,3,8,12,77
198,Karl-Anthony Towns,PF,27,MIN,5,5,180,32,70,.457,6,24,.250,26,46,.565,.500,21,28,.750,6,45,51,10,3,4,18,21,91
199,P.J. Tucker,PF,37,PHI,11,11,294,19,51,.373,14,40,.350,5,11,.455,.510,2,3,.667,18,32,50,16,13,3,5,28,54
200,Jarred Vanderbilt,PF,23,LAL,15,13,247,24,60,.400,7,29,.241,17,31,.548,.458,14,20,.700,19,29,48,12,11,12,13,31,69
201,Gabe Vincent,PG,26,MIA,22,22,672,99,246,.402,51,135,.378,48,111,.432,.506,30,34,.882,8,23,31,78,19,4,31,66,279
