Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
187,Tristan Thompson,C,32,CLE,10,0,87,7,16,.438,0,0,,7,16,.438,.438,1,2,.500,10,10,20,10,1,5,2,9,15
188,Xavier Tillman Sr.,PF,25,BOS,8,0,69,5,8,.625,1,1,1.000,4,7,.571,.688,1,1,1.000,4,10,14,3,3,3,3,7,12
189,Obi Toppin,PF,25,IND,17,0,343,73,135,.541,20,56,.357,53,79,.671,.615,19,25,.760,10,65,75,29,6,6,14,21,185
190,Karl-Anthony Towns,PF,28,MIN,16,16,522,108,232,.466,30,83,.361,78,149,.523,.530,59,69,.855,35,109,144,42,12,3,27,55,305
191,P.J. Tucker,PF,38,LAC,2,1,31,4,6,.667,3,4,.750,1,2,.500,.917,0,0,,3,0,3,0,0,0,3,6,11
192,Myles Turner,C,27,IND,17,17,550,106,205,.517,39,86,.453,67,119,.563,.612,38,50,.760,26,87,113,36,8,25,33,44,289
193,Hunter Tyson,PF,23,DEN,3,0,14,0,4,.000,0,3,.000,0,1,.000,.000,1,2,.500,1,2,3,1,0,0,1,0,1
194,Jonas ValanÄiÅ«nas,C,31,NOP,4,4,90,22,42,.524,0,1,.000,22,41,.537,.524,14,17,.824,18,26,44,5,2,0,10,9,58
195,Gabe Vincent,PG,27,LAL,5,0,69,3,12,.250,1,7,.143,2,5,.400,.292,0,0,,1,7,8,3,2,0,3,8,7
196,Dean Wade,PF,27,CLE,3,1,63,4,13,.308,3,10,.300,1,3,.333,.423,0,0,,1,5,6,5,1,2,2,4,11
197,Franz Wagner,SF,22,ORL,7,7,259,42,103,.408,9,34,.265,33,69,.478,.451,39,44,.886,10,38,48,31,5,9,9,20,132
198,Moritz Wagner,C,26,ORL,7,0,105,16,36,.444,2,9,.222,14,27,.519,.472,10,17,.588,11,20,31,2,6,3,8,21,44
199,Jarace Walker,PF,20,IND,9,0,31,3,10,.300,0,3,.000,3,7,.429,.300,2,3,.667,1,3,4,4,2,1,6,2,8
200,Cason Wallace,SG,20,OKC,10,0,198,16,41,.390,9,28,.321,7,13,.538,.500,1,2,.500,7,6,13,10,9,2,4,14,42
201,Jordan Walsh,SF,19,BOS,3,0,11,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,2,2,0,0,0,0,0,2
202,T.J. Warren,SF,30,MIN,3,0,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,2,1,3,1,0,0,0,0,0
203,P.J. Washington,PF,25,DAL,22,22,785,100,234,.427,47,135,.348,53,99,.535,.528,39,55,.709,33,112,145,31,16,17,32,67,286
204,Lindy Waters III,SG,26,OKC,3,0,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0
205,Peyton Watson,SF,21,DEN,10,0,90,6,24,.250,3,12,.250,3,12,.250,.313,3,6,.500,2,13,15,4,0,6,3,9,18
206,Russell Westbrook,PG,35,LAC,6,0,114,13,50,.260,4,17,.235,9,33,.273,.300,8,13,.615,6,19,25,10,7,3,10,11,38
207,Derrick White,SG,29,BOS,19,19,676,109,241,.452,65,161,.404,44,80,.550,.587,35,38,.921,19,62,81,77,18,23,16,44,318
208,Aaron Wiggins,SG,25,OKC,10,0,157,23,47,.489,6,20,.300,17,27,.630,.553,10,11,.909,9,23,32,10,6,3,9,8,62
209,Jalen Williams,PF,22,OKC,10,10,377,75,160,.469,15,39,.385,60,121,.496,.516,22,27,.815,13,55,68,54,17,5,19,21,187
210,Jaylin Williams,C,21,OKC,10,0,127,16,33,.485,9,22,.409,7,11,.636,.621,3,4,.750,4,28,32,15,4,3,3,11,44
211,Kenrich Williams,PF,29,OKC,7,0,32,2,8,.250,0,5,.000,2,3,.667,.250,0,0,,1,7,8,3,1,0,0,3,4
212,Delon Wright,PG,31,MIA,4,1,107,12,20,.600,6,10,.600,6,10,.600,.750,2,2,1.000,2,10,12,7,4,1,0,5,32
213,Thaddeus Young,PF,35,PHO,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
214,Ivica Zubac,C,26,LAC,6,6,192,42,70,.600,0,0,,42,70,.600,.600,13,20,.650,18,38,56,6,5,3,8,21,97
