Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
54.0,Joel Embiid,28.0,PHI,C,66.0,66.0,2284.0,0.548,11.2,0.849,0.269,0.196,0.242,0.133,0.151,0.587,0.807,0.435,0.514,0.489,0.33,0.589,0.879,0.065,74.0,0.04,0.25,4.0,0.0,"MVP-1,DPOY-9,CPOY-5,AS,NBA1"
55.0,Bruce Brown,26.0,DEN,SF,80.0,31.0,2280.0,0.483,12.0,0.657,0.262,0.266,0.086,0.032,0.343,0.548,0.809,0.391,0.391,0.25,0.358,0.551,0.923,0.076,50.0,0.382,0.392,1.0,0.0,
56.0,Klay Thompson,32.0,GSW,SF,69.0,69.0,2279.0,0.436,19.6,0.416,0.058,0.123,0.114,0.121,0.584,0.47,0.694,0.513,0.378,0.408,0.412,0.727,0.89,0.011,11.0,0.17,0.403,0.0,0.0,
57.0,Jalen Williams,21.0,OKC,SG,75.0,62.0,2276.0,0.521,10.4,0.742,0.377,0.246,0.073,0.047,0.258,0.579,0.726,0.436,0.448,0.351,0.356,0.416,0.904,0.106,77.0,0.146,0.367,2.0,0.0,ROY-2
58.0,Lauri Markkanen,25.0,UTA,PF,66.0,66.0,2273.0,0.499,14.6,0.554,0.213,0.251,0.053,0.037,0.446,0.585,0.717,0.505,0.525,0.452,0.391,0.65,0.935,0.112,111.0,0.184,0.489,0.0,0.0,"MIP-1,AS"
59.0,Max Strus,26.0,MIA,SF,80.0,33.0,2272.0,0.41,19.4,0.287,0.138,0.114,0.023,0.011,0.713,0.559,0.679,0.478,0.444,0.111,0.35,0.701,0.939,0.025,17.0,0.274,0.461,0.0,0.0,
60.0,Luguentz Dort,23.0,OKC,SF,74.0,73.0,2272.0,0.388,14.2,0.532,0.301,0.174,0.032,0.024,0.468,0.44,0.521,0.309,0.357,0.476,0.33,0.51,0.889,0.04,29.0,0.232,0.411,1.0,0.0,
61.0,Nic Claxton,23.0,BRK,C,76.0,76.0,2271.0,0.705,2.7,0.997,0.671,0.303,0.022,0.0,0.003,0.708,0.805,0.511,0.462,,0.0,0.763,,0.346,191.0,1.0,0.0,0.0,0.0,DPOY-9
62.0,Jerami Grant,28.0,POR,PF,63.0,63.0,2246.0,0.475,13.9,0.607,0.264,0.141,0.085,0.103,0.393,0.523,0.68,0.419,0.397,0.383,0.401,0.569,0.944,0.083,70.0,0.357,0.375,0.0,0.0,
63.0,Kyrie Irving,30.0,2TM,SG,60.0,60.0,2241.0,0.494,15.5,0.588,0.16,0.182,0.155,0.091,0.412,0.574,0.724,0.507,0.538,0.509,0.379,0.291,0.511,0.002,1.0,0.107,0.34,2.0,0.0,"CPOY-12,AS"
63.0,Kyrie Irving,30.0,BRK,PG,40.0,40.0,1478.0,0.486,16.2,0.575,0.147,0.166,0.16,0.103,0.425,0.569,0.7,0.522,0.55,0.488,0.374,0.295,0.515,0.001,1.0,0.098,0.324,0.0,0.0,
63.0,Kyrie Irving,30.0,DAL,SG,20.0,20.0,763.0,0.51,14.8,0.615,0.188,0.216,0.143,0.068,0.385,0.585,0.764,0.482,0.509,0.577,0.392,0.283,0.5,0.003,0.0,0.128,0.368,2.0,0.0,
64.0,Kyle Kuzma,27.0,WAS,PF,64.0,64.0,2239.0,0.448,14.9,0.579,0.186,0.266,0.082,0.045,0.421,0.533,0.722,0.487,0.383,0.294,0.333,0.466,0.781,0.036,38.0,0.243,0.41,5.0,2.0,
65.0,Caris LeVert,28.0,CLE,SG,74.0,30.0,2237.0,0.431,14.5,0.563,0.235,0.181,0.115,0.028,0.437,0.462,0.638,0.373,0.306,0.238,0.392,0.368,0.701,0.042,29.0,0.228,0.405,1.0,0.0,
66.0,Bennedict Mathurin,20.0,IND,SG,78.0,17.0,2222.0,0.434,12.1,0.674,0.286,0.26,0.075,0.044,0.326,0.488,0.625,0.397,0.366,0.333,0.323,0.591,0.74,0.035,28.0,0.194,0.333,5.0,0.0,"ROY-4,6MOY-8"
67.0,Terry Rozier,28.0,CHO,SG,63.0,63.0,2221.0,0.415,15.1,0.575,0.194,0.199,0.101,0.081,0.425,0.48,0.622,0.376,0.467,0.417,0.327,0.326,0.655,0.003,3.0,0.289,0.301,2.0,0.0,
68.0,Jarrett Allen,24.0,CLE,C,68.0,68.0,2220.0,0.644,4.4,0.984,0.57,0.304,0.075,0.027,0.016,0.653,0.765,0.516,0.511,0.294,0.1,0.769,1.0,0.316,177.0,0.6,0.0,0.0,0.0,
69.0,Dillon Brooks,27.0,MEM,SF,73.0,73.0,2214.0,0.396,15.8,0.557,0.157,0.19,0.138,0.072,0.443,0.451,0.635,0.362,0.453,0.282,0.326,0.438,0.797,0.012,12.0,0.164,0.361,2.0,0.0,DEF2
70.0,Kevin Huerter,24.0,SAC,SG,75.0,75.0,2203.0,0.485,17.8,0.411,0.135,0.141,0.087,0.042,0.589,0.604,0.778,0.607,0.413,0.444,0.402,0.656,0.868,0.014,11.0,0.149,0.395,0.0,0.0,
71.0,Jrue Holiday,32.0,MIL,PG,67.0,65.0,2183.0,0.479,15.3,0.598,0.194,0.216,0.096,0.093,0.402,0.542,0.727,0.452,0.459,0.453,0.384,0.247,0.43,0.007,6.0,0.117,0.458,4.0,0.0,"DPOY-7,AS,DEF1"
72.0,Alperen ÅengÃ¼n,20.0,HOU,C,75.0,72.0,2171.0,0.553,6.0,0.929,0.395,0.464,0.053,0.016,0.071,0.57,0.677,0.499,0.476,0.308,0.333,0.499,1.0,0.109,77.0,0.035,0.0,1.0,0.0,
73.0,Anfernee Simons,23.0,POR,SG,62.0,62.0,2171.0,0.447,17.9,0.462,0.166,0.124,0.092,0.08,0.538,0.528,0.647,0.431,0.542,0.417,0.377,0.29,0.684,0.029,26.0,0.107,0.4,1.0,0.0,
74.0,Ivica Zubac,25.0,LAC,C,76.0,76.0,2170.0,0.634,3.3,0.996,0.593,0.377,0.021,0.004,0.004,0.637,0.702,0.546,0.455,0.5,0.0,0.733,,0.286,130.0,0.0,,1.0,0.0,
75.0,Killian Hayes,21.0,DET,PG,76.0,56.0,2154.0,0.377,15.7,0.649,0.086,0.216,0.236,0.112,0.351,0.429,0.586,0.403,0.401,0.418,0.28,0.141,0.763,0.017,13.0,0.259,0.243,0.0,0.0,
