Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
494.0,Gabe York,29.0,IND,SG,3.0,0.0,56.0,6.8,17.8,0.381,5.1,15.3,0.333,1.7,2.5,0.667,0.524,1.7,1.7,1.0,0.0,5.1,5.1,4.2,1.7,0.0,0.0,4.2,20.3,122.0,120.0,
495.0,Devon Dotson,23.0,WAS,PG,6.0,0.0,53.0,0.9,9.2,0.1,0.9,3.7,0.25,0.0,5.5,0.0,0.15,0.0,0.0,,5.5,3.7,9.2,7.4,4.6,0.0,2.8,8.3,2.8,81.0,112.0,
496.0,Facundo Campazzo,31.0,DAL,PG,8.0,0.0,52.0,2.9,12.4,0.231,2.9,10.5,0.273,0.0,1.9,0.0,0.346,1.0,1.9,0.5,0.0,1.9,1.9,8.6,5.7,0.0,2.9,2.9,9.6,86.0,111.0,
497.0,Micah Potter,24.0,UTA,PF,7.0,0.0,52.0,9.2,13.8,0.667,3.7,6.4,0.571,5.5,7.3,0.75,0.8,0.0,0.0,,2.8,11.9,14.7,3.7,0.9,0.0,1.8,4.6,22.0,145.0,116.0,
498.0,Joe Wieskamp,23.0,TOR,SF,9.0,0.0,50.0,3.0,13.8,0.214,3.0,11.9,0.25,0.0,2.0,0.0,0.321,0.0,0.0,,0.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,8.9,77.0,121.0,
499.0,Ron Harper Jr.,22.0,TOR,PF,9.0,0.0,48.0,8.2,16.5,0.5,3.1,9.3,0.333,5.1,7.2,0.714,0.594,1.0,1.0,1.0,3.1,4.1,7.2,4.1,0.0,1.0,0.0,3.1,20.6,140.0,120.0,
500.0,Xavier Sneed,25.0,CHO,SF,4.0,0.0,48.0,5.0,9.9,0.5,3.0,5.9,0.5,2.0,4.0,0.5,0.65,4.0,4.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,3.0,6.9,16.9,124.0,120.0,
501.0,Michael Carter-Williams,31.0,ORL,PG,4.0,0.0,44.0,6.6,15.4,0.429,1.1,3.3,0.333,5.5,12.1,0.455,0.464,4.4,7.7,0.571,1.1,4.4,5.5,7.7,1.1,1.1,4.4,5.5,18.7,98.0,116.0,
502.0,Cole Swider,23.0,LAL,SF,7.0,0.0,41.0,3.5,10.4,0.333,3.5,9.2,0.375,0.0,1.2,0.0,0.5,0.0,0.0,,1.2,6.9,8.1,4.6,0.0,0.0,0.0,3.5,10.4,124.0,118.0,
503.0,Mac McClung,24.0,PHI,SG,2.0,0.0,41.0,10.9,24.2,0.45,4.8,13.3,0.364,6.0,10.9,0.556,0.55,3.6,6.0,0.6,3.6,8.5,12.1,10.9,0.0,0.0,3.6,3.6,30.2,119.0,117.0,
