Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
452.0,Braxton Key,24.0,2TM,SF,11.0,0.0,197.0,6.0,13.2,0.458,1.1,3.8,0.286,4.9,9.3,0.529,0.5,1.3,2.4,0.538,2.4,6.8,9.1,2.0,1.8,2.0,2.0,4.8,14.4,
452.0,Braxton Key,24.0,PHI,SF,2.0,0.0,6.0,6.0,12.0,0.5,0.0,6.0,0.0,6.0,6.0,1.0,0.5,0.0,0.0,,6.0,6.0,12.0,6.0,6.0,0.0,12.0,6.0,12.0,
452.0,Braxton Key,24.0,DET,SF,9.0,0.0,191.0,6.0,13.2,0.457,1.1,3.8,0.3,4.9,9.4,0.52,0.5,1.3,2.5,0.538,2.3,6.8,9.0,1.9,1.7,2.1,1.7,4.7,14.5,
453.0,Udoka Azubuike,22.0,UTA,C,17.0,6.0,195.0,6.8,9.0,0.755,0.0,0.0,,6.8,9.0,0.755,0.755,1.1,2.0,0.545,3.3,9.8,13.1,0.0,0.2,2.0,2.2,4.6,14.8,
454.0,Greg Monroe,31.0,4TM,C,14.0,0.0,195.0,5.9,10.5,0.561,0.0,0.0,,5.9,10.5,0.561,0.561,2.2,4.2,0.522,5.5,6.3,11.8,4.1,1.5,1.8,2.2,4.4,14.0,
454.0,Greg Monroe,31.0,MIN,C,4.0,0.0,81.0,5.8,9.8,0.591,0.0,0.0,,5.8,9.8,0.591,0.591,1.3,3.1,0.429,2.7,8.0,10.7,7.1,1.8,2.7,3.1,4.0,12.9,
454.0,Greg Monroe,31.0,WAS,C,2.0,0.0,18.0,8.0,16.0,0.5,0.0,0.0,,8.0,16.0,0.5,0.5,0.0,0.0,,14.0,6.0,20.0,2.0,2.0,2.0,4.0,4.0,16.0,
454.0,Greg Monroe,31.0,MIL,C,5.0,0.0,70.0,5.7,11.3,0.5,0.0,0.0,,5.7,11.3,0.5,0.5,2.6,4.6,0.556,5.7,5.1,10.8,1.0,1.5,1.0,1.5,3.6,13.9,
454.0,Greg Monroe,31.0,UTA,C,3.0,0.0,26.0,5.5,6.9,0.8,0.0,0.0,,5.5,6.9,0.8,0.8,5.5,9.7,0.571,8.3,4.2,12.5,4.2,0.0,1.4,0.0,8.3,16.6,
455.0,Mamadi Diakite,25.0,OKC,PF,13.0,3.0,188.0,4.8,9.0,0.532,0.0,1.0,0.0,4.8,8.0,0.595,0.532,1.1,2.1,0.545,3.3,8.0,11.3,0.4,1.0,1.7,1.3,6.3,10.7,
456.0,Reggie Perry,21.0,2TM,PF,10.0,1.0,187.0,7.7,15.2,0.506,0.6,3.1,0.188,7.1,12.1,0.587,0.525,1.7,2.9,0.6,2.9,6.2,9.0,2.3,1.7,1.2,2.1,6.4,17.7,
456.0,Reggie Perry,21.0,POR,PF,9.0,1.0,177.0,7.9,15.9,0.5,0.6,3.3,0.188,7.3,12.6,0.581,0.519,1.8,3.1,0.6,3.1,6.3,9.4,2.4,1.8,1.2,2.2,6.1,18.3,
456.0,Reggie Perry,21.0,IND,PF,1.0,0.0,10.0,3.6,3.6,1.0,0.0,0.0,,3.6,3.6,1.0,1.0,0.0,0.0,,0.0,3.6,3.6,0.0,0.0,0.0,0.0,10.8,7.2,
457.0,Kyle Guy,24.0,MIA,SG,19.0,0.0,186.0,5.0,12.6,0.4,2.7,7.7,0.35,2.3,4.8,0.48,0.508,1.5,2.3,0.667,0.8,2.5,3.3,3.3,1.4,0.2,2.5,2.3,14.3,
458.0,Willie Cauley-Stein,28.0,2TM,C,20.0,2.0,183.0,3.1,6.9,0.457,0.2,0.4,0.5,3.0,6.5,0.455,0.471,0.2,0.4,0.5,2.6,5.3,7.9,2.0,1.2,0.6,1.4,3.7,6.7,
458.0,Willie Cauley-Stein,28.0,DAL,C,18.0,2.0,177.0,3.3,7.1,0.457,0.2,0.4,0.5,3.1,6.7,0.455,0.471,0.2,0.4,0.5,2.6,5.1,7.7,1.8,1.2,0.6,1.4,3.5,6.9,
458.0,Willie Cauley-Stein,28.0,PHI,C,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,12.0,12.0,6.0,0.0,0.0,0.0,12.0,0.0,
459.0,Frank Kaminsky,28.0,PHO,C,9.0,0.0,181.0,7.2,13.1,0.545,1.0,3.0,0.333,6.2,10.1,0.608,0.583,3.6,4.0,0.9,2.2,6.0,8.2,2.6,1.6,1.4,1.0,2.8,18.9,
460.0,Charlie Brown Jr.,24.0,2TM,SG,22.0,2.0,177.0,2.0,7.9,0.256,0.2,2.4,0.083,1.8,5.5,0.333,0.269,1.8,2.0,0.9,2.8,3.7,6.5,1.2,2.0,0.8,1.0,3.7,6.1,
460.0,Charlie Brown Jr.,24.0,DAL,SG,3.0,0.0,15.0,2.4,12.0,0.2,0.0,7.2,0.0,2.4,4.8,0.5,0.2,0.0,0.0,,0.0,2.4,2.4,2.4,4.8,2.4,0.0,4.8,4.8,
460.0,Charlie Brown Jr.,24.0,PHI,SG,19.0,2.0,162.0,2.0,7.6,0.265,0.2,2.0,0.111,1.8,5.6,0.32,0.279,2.0,2.2,0.9,3.1,3.8,6.9,1.1,1.8,0.7,1.1,3.6,6.2,
461.0,Markus Howard,22.0,DEN,SG,31.0,0.0,176.0,8.0,20.7,0.386,5.7,14.3,0.4,2.3,6.3,0.355,0.525,4.1,4.7,0.87,0.4,2.0,2.5,1.4,1.8,0.0,1.4,3.5,25.8,
462.0,Vlatko ÄanÄar,24.0,DEN,PF,15.0,1.0,176.0,4.7,8.4,0.561,1.4,2.5,0.583,3.3,5.9,0.552,0.646,1.8,2.9,0.643,1.6,4.7,6.3,3.5,0.4,0.6,1.8,3.7,12.7,
463.0,Jamorko Pickett,24.0,DET,PF,13.0,0.0,176.0,3.7,10.2,0.36,2.7,8.0,0.333,1.0,2.3,0.455,0.49,0.2,0.4,0.5,1.2,5.3,6.5,1.4,0.0,1.4,1.0,2.5,10.2,
464.0,Zavier Simpson,24.0,OKC,PG,4.0,4.0,174.0,3.9,10.8,0.365,0.2,1.7,0.125,3.7,9.1,0.409,0.375,1.0,1.0,1.0,0.4,3.9,4.3,6.2,1.0,0.8,2.1,3.1,9.1,
465.0,Victor Oladipo,29.0,MIA,SG,8.0,1.0,173.0,7.3,15.2,0.479,3.1,7.5,0.417,4.2,7.7,0.541,0.582,2.9,4.0,0.737,0.6,4.2,4.8,5.8,1.0,0.2,3.3,2.7,20.6,
466.0,Hassani Gravett,25.0,ORL,PG,8.0,3.0,171.0,3.8,8.0,0.474,2.3,5.5,0.423,1.5,2.5,0.583,0.618,0.6,0.8,0.75,0.2,4.2,4.4,4.2,1.1,0.2,1.9,2.7,10.5,
467.0,Charles Bassey,21.0,PHI,C,23.0,0.0,168.0,6.4,10.1,0.638,0.0,0.9,0.0,6.4,9.2,0.698,0.638,1.9,2.6,0.75,4.7,8.6,13.3,1.5,1.1,3.6,1.7,6.9,14.8,
468.0,Alize Johnson,25.0,3TM,PF,23.0,0.0,167.0,3.7,8.4,0.436,0.0,0.9,0.0,3.7,7.5,0.486,0.436,1.5,2.6,0.583,6.0,7.1,13.1,1.9,1.1,0.0,2.6,3.9,8.8,
468.0,Alize Johnson,25.0,CHI,PF,16.0,0.0,121.0,3.6,6.8,0.522,0.0,0.6,0.0,3.6,6.2,0.571,0.522,1.2,2.1,0.571,4.8,6.0,10.7,2.4,0.9,0.0,2.4,4.5,8.3,
468.0,Alize Johnson,25.0,WAS,PF,3.0,0.0,18.0,4.0,12.0,0.333,0.0,4.0,0.0,4.0,8.0,0.5,0.333,0.0,2.0,0.0,10.0,14.0,24.0,0.0,0.0,0.0,6.0,0.0,8.0,
468.0,Alize Johnson,25.0,NOP,PF,4.0,0.0,28.0,3.9,12.9,0.3,0.0,0.0,,3.9,12.9,0.3,0.3,3.9,5.1,0.75,9.0,7.7,16.7,1.3,2.6,0.0,1.3,3.9,11.6,
469.0,Kevin Pangos,29.0,CLE,PG,24.0,3.0,166.0,3.3,10.0,0.326,1.3,5.6,0.231,2.0,4.3,0.45,0.391,0.7,0.9,0.75,0.4,2.0,2.4,6.5,0.7,0.0,1.5,2.4,8.5,
470.0,Haywood Highsmith,25.0,MIA,SF,19.0,1.0,163.0,3.5,10.2,0.348,2.0,6.2,0.321,1.5,4.0,0.389,0.446,0.4,1.1,0.4,2.2,3.5,5.7,1.3,0.4,0.7,0.7,2.9,9.5,
471.0,Sam Hauser,24.0,BOS,SF,26.0,0.0,158.0,5.2,11.4,0.46,4.3,10.0,0.432,0.9,1.4,0.667,0.65,0.0,0.0,,1.1,5.5,6.6,2.3,0.2,0.5,0.5,1.6,14.8,
472.0,Paul Watson,27.0,OKC,SF,9.0,3.0,156.0,2.8,8.1,0.343,1.4,6.0,0.231,1.4,2.1,0.667,0.429,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2,
473.0,Cassius Stanley,22.0,DET,SG,9.0,1.0,155.0,4.4,10.7,0.413,0.9,3.9,0.235,3.5,6.7,0.517,0.457,2.3,2.3,1.0,1.2,3.3,4.4,0.9,1.2,0.5,1.4,3.9,12.1,
474.0,Bruno Fernando,23.0,2TM,C,30.0,0.0,152.0,8.5,13.0,0.655,0.2,0.5,0.5,8.3,12.6,0.66,0.664,3.6,5.7,0.625,4.3,8.8,13.0,1.7,0.2,2.6,3.3,5.7,20.8,
